Mean,Median,SD,lcl,ucl,Rhat,parameter,Year
687.3349982,686.400163,44.60155739,601.8417238,777.5042283,1.00170976,pop.size[1],2000
709.2567116,707.3915562,58.24510965,601.0678029,828.3231679,1.004569729,pop.size[2],2001
721.6799499,717.772756,62.26244034,610.2272921,857.5132246,1.004028073,pop.size[3],2002
747.722738,747.2843223,39.61384359,671.0016944,826.39723,1.000562752,pop.size[4],2003
763.5998936,757.6993916,66.39249295,650.1000587,909.1925151,1.005742241,pop.size[5],2004
716.6929784,716.6747442,38.35782881,640.5674587,792.6168029,1.0011828,pop.size[6],2005
712.5936651,709.0104809,56.17186995,612.4249165,833.2909877,1.001877506,pop.size[7],2006
708.3017044,700.658844,66.04962715,603.4767638,855.4818996,1.016613829,pop.size[8],2007
667.2224916,666.3984574,34.94108913,600.6395277,738.7956862,1.000718861,pop.size[9],2008
708.0016713,703.0917331,56.48253229,610.7103923,817.7559704,1.000904456,pop.size[10],2009
655.3303524,654.2439907,35.19605077,588.661467,728.1923512,1.001900628,pop.size[11],2010
620.5438466,620.0128677,33.1669742,555.7541938,687.6789888,1.001134338,pop.size[12],2011
591.3872734,591.3692915,34.00691985,524.8568588,658.9996988,1.000933528,pop.size[13],2012
533.5331923,533.2857094,36.65825522,462.1761037,606.0837973,1.002537859,pop.size[14],2013
500.8879073,500.3813572,35.7475275,432.747367,571.9901966,1.004602159,pop.size[15],2014
539.707255,539.0873233,31.90910465,478.9930616,604.0045196,1.001166901,pop.size[16],2015
587.5662975,586.4911471,35.46563727,521.4862799,660.279819,1.000974181,pop.size[17],2016
613.5271584,613.4082131,36.3491393,542.3065548,685.7948666,1.001139907,pop.size[18],2017
644.0374059,643.7727492,41.7125784,561.9836767,727.0601256,1.001747955,pop.size[19],2018
0.299814034,0.299900851,0.086190575,0.157911035,0.442364283,1.000037951,skip.prob[1],2000
0.299830205,0.299528137,0.086523328,0.157567124,0.442274415,1.000077772,skip.prob[2],2001
