Year,n_nests,BREED_SUCC
1982,,0.640625
1983,,0.605263157894737
1984,,0.578947368421053
1985,,0.559322033898305
1986,,0.757142857142857
1987,,0.666666666666667
1988,,0.69811320754717
1989,,0.69811320754717
1990,,0.788461538461538
1991,,0.631578947368421
1992,,0.74468085106383
1993,,0.717391304347826
1994,,0.740740740740741
1995,,
1996,,0.771428571428571
1997,,0.711111111111111
1998,,0.711538461538462
1999,,0.333333333333333
2000,,0.533333333333333
2001,,0.618181818181818
2002,,0.340425531914894
2003,60,0.783333333333333
2004,69,0.608695652173913
2005,,0.636363636363636
2006,55,0.6
2007,,0.594202898550725
2008,65,0.369230769230769
2009,61,0.704918032786885
2010,47,0.574468085106383
2011,192,0.53125
2012,41,0.658536585365854
2013,33,0.575757575757576
2014,38,0.526315789473684
2015,45,0.755555555555556
2016,63,0.555555555555556
2017,65,0.430769230769231
