Year,Area 1,Area 10,Area 11,Area 2,Area 3,Area 4,Area 5,Area 6,Area 7,Area 8,Area 9
1982,64,,,,,,,,,,
1983,38,,,,,,,,,,
1984,37,,,,,,,,,,
1985,59,,,,,,,,,,
1986,71,,,,,,,,,,
1987,45,,,,,,,,,,
1988,53,,,,,,,,,,
1989,53,,,,,,,,,,
1990,52,,,,,,,,,,
1991,38,,,,,,,,,,
1992,47,,,,,,,,,,
1993,46,,,,,,,,,,
1994,27,,,,,,,,,,
1995,29,,,,,,,,,,
1996,35,,,,,,,,,,
1997,45,,,,,,,,,,
1998,52,,,,,,,,,,
1999,45,,,,,,,,,,
2000,50,137,96,65,41,111,10,23,31,55,56
2001,55,,,,,,,,,,
2002,47,,,,,,,,,,
2003,55,109,82,66,36,104,15,27,26,165,24
2004,72,,,93,55,,,,,,
2005,55,143,136,91,41,97,,32,35,73,32
2006,57,142,,,40,,,,,,
2007,69,,,,,,,,,,
2008,59,124,87,58,41,119,21,19,28,55,29
2009,58,108,255,83,51,123,17,27,23,47,23
2010,49,130,122,89,38,108,19,22,26,47,22
2011,48,121,118,68,32,88,18,18,21,60,24
2012,43,142,121,57,29,93,15,27,28,46,17
2013,34,68,99,56,29,83,18,26,39,34,39
2014,37,70,77,57,19,39,10,18,19,20,26
2015,47,120,60,53,39,90,28,19,22,38,9
2016,56,131,,55,55,106,22,11,28,46,13
2017,54,147,111,57,43,100,24,21,38,48,9
2018,72,157,80,63,60,120,25,16,26,49,14
