Colony,Area 1,Area 2,Area 3,Area 4,Area 5,Area 6,Area 7,Area 8,Area 9,Area 10,Area 11
2008,59,58,41,119,21,19,28,55,29,124,87
2009,58,83,51,123,17,27,23,47,23,108,158
2010,49,89,38,108,19,22,26,47,22,130,122
2011,48,68,32,88,18,18,21,60,24,121,118
2012,43,57,29,93,15,27,28,46,17,142,121
2013,34,56,29,83,18,26,39,34,39,68,99
2014,37,57,19,39,10,18,19,20,26,70,77
2015,47,53,39,90,28,19,22,38,9,120,60
2016,56,55,55,106,22,11,28,46,13,131,97
2017,54,57,43,100,24,21,38,48,9,147,111
2018,72,63,60,120,25,16,26,49,14,157,80
2019,51,50,47,97,17,18,32,40,13,144,41
