"Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"pop.size[1]",687.085981188767,686.170201579871,45.6922709944989,599.454368822817,780.052163203698
"pop.size[2]",704.449979789547,701.461952172574,60.5137004609762,594.099066102279,831.752256464001
"pop.size[3]",717.493327365079,713.993692898168,60.9916344322656,609.766385249793,847.10775520438
"pop.size[4]",746.083937548299,745.827316979175,39.8948807257659,668.52702257601,825.602872124361
"pop.size[5]",756.822114213276,751.682542126786,63.5528244203615,647.235152193176,896.741043602906
"pop.size[6]",717.441594917136,717.366823907482,38.4627789903406,642.048660528805,794.120069073868
"pop.size[7]",711.334862804409,707.15215230764,56.1517726903924,612.233873563577,834.940332527159
"pop.size[8]",703.820920728486,698.097577151905,61.599127381652,600.687747254037,843.641108519231
"pop.size[9]",669.041884604035,668.246038040836,34.6069061570563,602.771270127767,739.330130690215
"pop.size[10]",710.937900389044,707.968722528232,56.4681033878666,611.249921117828,819.360171851338
"pop.size[11]",655.389271723155,654.552654720192,35.1760509913142,588.171480891317,727.693103701576
"pop.size[12]",621.264851410657,621.017129794539,32.8515101413699,556.957652077206,687.735394598606
"pop.size[13]",593.691451172702,593.730412091009,34.2345590821774,525.893941076919,661.433691254893
"pop.size[14]",534.396747719056,533.786510048685,36.8062110699656,463.57126258072,607.19325936458
"pop.size[15]",501.960882164334,501.180058518102,36.1443247250638,433.058233222968,574.281807682211
"pop.size[16]",541.254127815346,540.444524312722,32.0439574847492,480.479121480386,605.972573654062
"pop.size[17]",589.370402221051,588.147220599993,35.7664504650824,522.525791692175,662.610216207241
"pop.size[18]",615.952836521168,616.132654777634,36.9099483094384,542.462423763737,688.627746306841
"pop.size[19]",649.330096517246,649.367484139279,42.5734363501654,565.282183733371,732.924408721334
"site.lam",1.0165513248739,1.01548223732109,0.0191488889824368,0.981725352418386,1.05738692921169
