date,flag,geartype,effort
2012-01-01,ARG,set_longlines,14.4709
2012-01-01,CHL,set_longlines,30.4362
2012-01-01,ESP,drifting_longlines,128.7937
2012-01-01,FRA,drifting_longlines,7.4283
2012-01-01,FRA,set_longlines,92.4633
2012-01-01,GBR,set_longlines,6.3994
2012-01-01,JPN,drifting_longlines,720.9163
2012-01-01,KHM,drifting_longlines,18.9557
2012-01-01,KIR,drifting_longlines,18.9854
2012-01-01,KOR,drifting_longlines,1222.3221
2012-01-01,KOR,set_longlines,54.0723
2012-01-01,PRT,drifting_longlines,6.905
2012-01-01,RUS,set_longlines,0
2012-01-01,SYC,drifting_longlines,17.3574
2012-01-01,TWN,drifting_longlines,52.1467
2012-01-01,UKR,set_longlines,8.4583
2012-01-01,VUT,drifting_longlines,19.0412
2012-01-02,ARG,set_longlines,47.6445
2012-01-02,CHL,set_longlines,187.529
2012-01-02,ESP,drifting_longlines,215.8371
2012-01-02,FRA,drifting_longlines,38.5386
2012-01-02,FRA,set_longlines,98.7669
2012-01-02,GBR,set_longlines,23.086
2012-01-02,JPN,drifting_longlines,1150.0338
2012-01-02,KHM,drifting_longlines,28.6716
2012-01-02,KIR,drifting_longlines,26.9879
2012-01-02,KOR,drifting_longlines,2003.6001
2012-01-02,KOR,set_longlines,95.5817
2012-01-02,PRT,drifting_longlines,24.6886
2012-01-02,RUS,set_longlines,24.6279
2012-01-02,SYC,drifting_longlines,28.53
2012-01-02,TWN,drifting_longlines,85.7228
2012-01-02,UKR,set_longlines,21.075
2012-01-02,VUT,drifting_longlines,28.6051
2012-01-03,ARG,set_longlines,42.9204
2012-01-03,CHL,set_longlines,166.3495
2012-01-03,ESP,drifting_longlines,203.5284
2012-01-03,FRA,drifting_longlines,28.3951
2012-01-03,FRA,set_longlines,92.1429
2012-01-03,GBR,set_longlines,23.0739
2012-01-03,IND,drifting_longlines,3.7884
2012-01-03,JPN,drifting_longlines,988.7174
2012-01-03,KHM,drifting_longlines,23.7125
2012-01-03,KIR,drifting_longlines,23.775
2012-01-03,KOR,drifting_longlines,1938.4891
2012-01-03,KOR,set_longlines,92.2876
2012-01-03,PRT,drifting_longlines,26.5574
2012-01-03,RUS,set_longlines,26.2719
2012-01-03,SYC,drifting_longlines,23.7814
2012-01-03,TWN,drifting_longlines,71.1887
2012-01-03,UKR,set_longlines,26.4888
2012-01-03,VUT,drifting_longlines,23.7749
2012-01-04,ARG,set_longlines,52.4887
2012-01-04,CHL,set_longlines,192.0907
2012-01-04,ESP,drifting_longlines,216.0152
2012-01-04,FRA,drifting_longlines,64.1967
2012-01-04,FRA,set_longlines,122.3778
2012-01-04,GBR,set_longlines,24.6943
2012-01-04,IND,drifting_longlines,23.7327
2012-01-04,JPN,drifting_longlines,1031.2729
2012-01-04,KHM,drifting_longlines,22.0311
2012-01-04,KIR,drifting_longlines,23.773
