Year,n_hooks,mit.NAM,mit.RSA,mit.URU,mit.ICCAT
1979,70494127197.3045,0,0,0,0
1980,61927369645.2655,0,0,0,0
1981,47555541512.4625,0,0,0,0
1982,78837657367.9679,0,0,0,0
1983,41653217641.6684,0,0,0,0
1984,33485731348.4606,0,0,0,0
1985,64824700122.4424,0,0,0,0
1986,78235225204.0605,0,0,0,0
1987,126878991603.266,0,0,0,0
1988,89134398945.113,0,0,0,0
1989,63388068851.573,0,0,0,0
1990,71732203671.8826,0,0,0,0
1991,62784338922.9464,0,0,0,0
1992,53597294512.2118,0,0,0,0
1993,79878044062.4466,0,0,0,0
1994,100390984345.602,0,0,0,0
1995,30448847154.3195,0,0,0,0
1996,27255953358.071,0,0,0,0
1997,24586248926.7073,0,0,0,0
1998,25805525291.102,0,0,0,0
1999,28540348520.194,0,0,0,0
2000,34814176141.9853,0,0,0,0
2001,33874812583.1915,0,0,0,0
2002,29053401197.4915,0,0,0,0
2003,41778373621.969,0,0,0,0
2004,29399339527.8134,0,0,0,0
2005,24603509851.5642,0,0.1,0,0.01
2006,33999745021.6683,0,0.2,0,0.015
2007,25885246122.164,0,0.3,0,0.02
2008,25100600451.6409,0,0.8,0,0.025
2009,18551087515.0469,0,0.9,0,0.045
2010,21582427969.9912,0,0.9,0,0.045
2011,26387154546.0736,0,0.9,0,0.045
2012,23030390803.4694,0,0.9,0,0.045
2013,25445102045.3599,0,0.9,1,0.06
2014,23560044605.8052,0,0.9,1,0.06
2015,19337088567.5776,0.5,0.9,1,0.06
2016,21850211271.6194,0.8,0.9,1,0.06
2017,25603016936.095,1,0.9,1,0.1
2018,21233871845.5367,1,0.9,1,0.1
2019,19562924717.6434,1,0.9,1,0.1
1978,,0,0,0,0
2020,,1,0.9,1,0.1
2021,,1,0.9,1,0.1
