Year,TimePeriodID,Lat,Lon,QuadID,Eff1Type,Effort
1956,6,0,35,3,NO.HOOKS,6080
1956,7,0,30,3,NO.HOOKS,15940
1956,7,5,30,3,NO.HOOKS,2240
1956,8,0,35,3,NO.HOOKS,2200
1956,12,0,30,3,NO.HOOKS,1300
1956,12,0,35,3,NO.HOOKS,1300
1957,4,0,30,3,NO.HOOKS,1898
1957,4,5,30,3,NO.HOOKS,1898
1957,5,0,25,3,NO.HOOKS,10810
1957,5,0,30,3,NO.HOOKS,1840
1957,5,5,25,3,NO.HOOKS,29957
1957,5,5,30,3,NO.HOOKS,1438
1957,5,10,25,3,NO.HOOKS,1725
1957,5,10,30,3,NO.HOOKS,3450
1957,6,0,25,3,NO.HOOKS,3450
1957,6,0,30,3,NO.HOOKS,14088
1957,6,5,30,3,NO.HOOKS,3048
1957,12,0,5,3,NO.HOOKS,9133
1957,12,0,10,3,NO.HOOKS,13056
1958,2,0,25,3,NO.HOOKS,4112
1958,2,5,25,3,NO.HOOKS,12336
1958,2,5,30,3,NO.HOOKS,98688
1958,3,0,0,2,NO.HOOKS,69318
1958,3,5,25,3,NO.HOOKS,8224
1958,3,5,30,3,NO.HOOKS,40092
1958,4,0,0,2,NO.HOOKS,6554
1958,4,5,30,3,NO.HOOKS,28784
1958,4,10,30,3,NO.HOOKS,57568
1958,5,0,20,3,NO.HOOKS,4749
1958,5,5,30,3,NO.HOOKS,6682
1958,6,0,30,3,NO.HOOKS,6785
1958,6,5,30,3,NO.HOOKS,76154
1958,6,10,30,3,NO.HOOKS,24158
1958,9,0,35,3,NO.HOOKS,3855
1959,1,0,5,2,NO.HOOKS,30890
1959,1,0,30,3,NO.HOOKS,52500
1959,1,5,20,3,NO.HOOKS,9653
1959,1,5,30,3,NO.HOOKS,108547
1959,1,10,30,3,NO.HOOKS,9653
1959,2,0,0,2,NO.HOOKS,27241
1959,2,0,0,3,NO.HOOKS,91006
1959,2,0,5,2,NO.HOOKS,33648
1959,2,0,5,3,NO.HOOKS,6540
1959,2,5,25,3,NO.HOOKS,4827
1959,2,5,30,3,NO.HOOKS,193621
1959,2,15,30,3,NO.HOOKS,31205
1959,2,20,35,3,NO.HOOKS,6934
1959,2,20,40,3,NO.HOOKS,6934
1959,3,0,0,2,NO.HOOKS,43655
1959,3,0,0,3,NO.HOOKS,47684
1959,3,0,5,3,NO.HOOKS,38829
1959,3,5,5,2,NO.HOOKS,6698
1959,3,5,30,3,NO.HOOKS,94253
1959,3,10,30,3,NO.HOOKS,31638
1959,3,15,30,3,NO.HOOKS,10402
1959,4,0,0,2,NO.HOOKS,93536
1959,4,0,0,3,NO.HOOKS,101967
1959,4,0,5,3,NO.HOOKS,74742
1959,4,0,10,3,NO.HOOKS,6698
1959,4,5,30,3,NO.HOOKS,6304
1959,4,10,30,3,NO.HOOKS,22064
1959,5,0,0,3,NO.HOOKS,24822
1959,5,0,5,3,NO.HOOKS,8353
1959,5,0,10,3,NO.HOOKS,11820
1959,5,0,20,3,NO.HOOKS,31804
1959,6,0,20,3,NO.HOOKS,7092
1959,6,0,25,3,NO.HOOKS,6619
1959,9,0,15,3,NO.HOOKS,1671
1959,10,0,20,3,NO.HOOKS,3940
1959,10,0,30,3,NO.HOOKS,6745
1959,10,0,35,3,NO.HOOKS,3373
1959,10,15,20,3,NO.HOOKS,2463
1959,11,0,35,3,NO.HOOKS,10118
1959,11,5,25,3,NO.HOOKS,69029
1959,11,5,30,3,NO.HOOKS,61385
1959,11,10,5,3,NO.HOOKS,4338
1959,11,10,15,3,NO.HOOKS,66389
1959,11,10,20,3,NO.HOOKS,224363
1959,11,10,25,3,NO.HOOKS,12411
1959,11,10,30,3,NO.HOOKS,9456
1959,11,15,15,3,NO.HOOKS,27974
1959,11,15,20,3,NO.HOOKS,34278
1959,12,5,5,2,NO.HOOKS,3940
1959,12,5,25,3,NO.HOOKS,90941
1959,12,5,30,3,NO.HOOKS,47859
1959,12,10,15,3,NO.HOOKS,159865
1959,12,10,20,3,NO.HOOKS,178837
1959,12,10,25,3,NO.HOOKS,358254
1959,12,15,15,3,NO.HOOKS,211204
1959,12,15,20,3,NO.HOOKS,216897
1959,12,20,20,3,NO.HOOKS,3310
1960,1,0,0,2,NO.HOOKS,52330
1960,1,0,5,2,NO.HOOKS,85203
