Year,Month,Day,LAT_DEG_Shoot,LAT_MIN_Shoot,LON_DEG_Shoot,LON_MIN_Shoot,DURATION (hours),Number of HOOKS_SET,Effort
2018,9,14,29,29,12,30,6.083333333,21881,133109.4167
2018,9,14,29,29,12,30,6.083333333,21881,133109.4167
2018,9,14,29,29,12,30,6.083333333,21881,133109.4167
2018,9,11,29,32,12,22,6.166666667,21788,134359.3333
2018,9,11,29,32,12,22,6.166666667,21788,134359.3333
2018,9,11,29,32,12,22,6.166666667,21788,134359.3333
2018,9,12,29,40,12,27,1.916666667,20732,39736.33333
2018,9,12,29,40,12,27,1.916666667,20732,39736.33333
2018,9,12,29,40,12,27,1.916666667,20732,39736.33333
2018,9,12,29,40,12,27,1.916666667,20732,39736.33333
2018,9,15,29,27,12,16,5.666666667,20671,117135.6667
2018,9,15,29,27,12,16,5.666666667,20671,117135.6667
2018,9,15,29,27,12,16,5.666666667,20671,117135.6667
2018,9,5,29,37,12,26,11.61666667,19893,231090.35
2018,9,5,29,37,12,26,11.61666667,19893,231090.35
2018,9,5,29,37,12,26,11.61666667,19893,231090.35
2018,9,13,29,34,12,24,6.166666667,19783,121995.1667
2018,9,13,29,34,12,24,6.166666667,19783,121995.1667
2018,9,13,29,34,12,24,6.166666667,19783,121995.1667
2016,12,28,29,1,12,0,7.5,15000,112500
2016,12,28,29,1,12,0,7.5,15000,112500
2016,12,28,29,1,12,0,7.5,15000,112500
2016,12,28,29,1,12,0,7.5,15000,112500
2018,9,10,29,7,12,3,4.166666667,7918,32991.66667
2018,9,3,28,27,12,14,4.25,24991,106211.75
2018,9,3,28,27,12,14,4.25,24991,106211.75
2018,9,4,28,44,12,29,6.166666667,23431,144491.1667
2018,9,4,28,44,12,29,6.166666667,23431,144491.1667
2018,9,16,28,41,12,31,4.333333333,17113,74156.33333
2018,9,16,28,41,12,31,4.333333333,17113,74156.33333
2018,9,16,28,41,12,31,4.333333333,17113,74156.33333
2018,9,16,28,41,12,31,4.333333333,17113,74156.33333
2018,9,6,28,41,12,34,4.166666667,9811,40879.16667
2018,9,6,28,41,12,34,4.166666667,9811,40879.16667
2016,12,29,28,2,12,1,5.5,7000,38500
2016,12,29,28,2,12,1,5.5,7000,38500
2016,12,29,28,2,12,1,5.5,7000,38500
2017,7,12,25,59,15,49,6,12000,72000
2017,7,12,25,59,15,49,6,12000,72000
2018,9,1,24,6,14,16,4.5,22839,102775.5
2016,7,28,23,21,13,16,5.75,13000,74750
2018,4,12,22,12,12,21,6.75,19636,132543
2018,3,28,22,26,12,32,24,19630,471120
2017,3,20,22,59,12,45,7.833333333,18000,141000
2017,3,20,22,59,12,45,7.833333333,18000,141000
2018,3,27,22,29,12,39,24,1010,24240
2018,8,30,23,0,12,49,4,22800,91200
2017,3,22,23,5,12,51,7,18000,126000
2017,3,22,23,5,12,51,7,18000,126000
2017,3,22,23,5,12,51,7,18000,126000
2017,3,13,23,2,12,49,6.5,18000,117000
2017,3,13,23,2,12,49,6.5,18000,117000
2017,3,13,23,2,12,49,6.5,18000,117000
2017,3,13,23,2,12,49,6.5,18000,117000
2017,5,12,23,9,12,54,6.333333333,18000,114000
2017,5,12,23,9,12,54,6.333333333,18000,114000
2017,5,12,23,9,12,54,6.333333333,18000,114000
2017,6,22,20,31,10,17,6.4,18000,115200
2018,5,18,21,12,10,57,21.08333333,26000,548166.6667
2017,6,23,20,7,19,51,5.983333333,18000,107700
2016,3,8,22,27,15,55,14.25,10406,148285.5
2016,3,8,22,27,15,55,14.25,10406,148285.5
2018,8,2,29,36,15,5,6.333333333,29000,183666.6667
2018,8,2,29,36,15,5,6.333333333,29000,183666.6667
2018,7,19,29,34,15,5,3.833333333,26700,102350
2018,7,19,29,34,15,5,3.833333333,26700,102350
2017,7,26,29,35,15,1,6.5,18000,117000
2017,7,26,29,35,15,1,6.5,18000,117000
2017,9,16,29,39,15,0,7,13689,95823
2017,9,16,29,39,15,0,7,13689,95823
2017,9,16,29,39,15,0,7,13689,95823
2017,8,15,29,32,15,3,6,13689,82134
2017,8,15,29,32,15,3,6,13689,82134
2017,8,16,29,31,15,3,6,13689,82134
2017,8,16,29,31,15,3,6,13689,82134
2017,8,7,29,34,15,4,6.5,12689,82478.5
2017,8,7,29,34,15,4,6.5,12689,82478.5
2017,12,28,21,25,14,44,6.916666667,19830,137157.5
2017,12,28,21,25,14,44,6.916666667,19830,137157.5
2018,6,25,25,54,14,1,5.333333333,26500,141333.3333
2018,6,25,25,54,14,1,5.333333333,26500,141333.3333
2018,2,2,25,56,14,1,6.666666667,19500,130000
2018,2,2,25,56,14,1,6.666666667,19500,130000
2018,3,9,26,43,14,21,6.916666667,29000,200583.3333
2018,3,9,26,43,14,21,6.916666667,29000,200583.3333
2018,3,8,26,27,14,43,6.416666667,29000,186083.3333
2018,3,8,26,27,14,43,6.416666667,29000,186083.3333
2018,6,15,26,19,14,4,5.583333333,29000,161916.6667
2018,6,15,26,19,14,4,5.583333333,29000,161916.6667
2018,6,14,26,40,14,18,5.333333333,29000,154666.6667
2018,6,14,26,40,14,18,5.333333333,29000,154666.6667
2018,6,17,26,21,14,5,4.5,28800,129600
2018,6,17,26,21,14,5,4.5,28800,129600
2018,6,16,26,23,14,6,4.333333333,28800,124800
2018,6,16,26,23,14,6,4.333333333,28800,124800
2018,6,13,26,45,14,20,4.416666667,28700,126758.3333
2018,6,13,26,45,14,20,4.416666667,28700,126758.3333
2018,6,8,26,20,14,5,5.5,28000,154000
2018,6,8,26,20,14,5,5.5,28000,154000
2018,6,9,26,22,14,8,5.333333333,27800,148266.6667
2018,6,9,26,22,14,8,5.333333333,27800,148266.6667
2018,6,10,26,17,14,2,5,27800,139000
2018,6,10,26,17,14,2,5,27800,139000
2018,6,7,26,16,14,2,6,27000,162000
2018,6,7,26,16,14,2,6,27000,162000
2018,6,26,26,31,14,18,15.5,26500,410750
2018,6,26,26,31,14,18,15.5,26500,410750
2018,6,27,26,45,14,30,5.666666667,26500,150166.6667
2018,6,27,26,45,14,30,5.666666667,26500,150166.6667
2016,12,2,26,47,14,26,7.333333333,24000,176000
2016,12,2,26,47,14,26,7.333333333,24000,176000
2016,12,2,26,47,14,26,7.333333333,24000,176000
2016,12,13,26,54,14,26,7.083333333,24000,170000
2016,12,13,26,54,14,26,7.083333333,24000,170000
2016,12,13,26,54,14,26,7.083333333,24000,170000
2016,12,5,26,25,14,10,5.916666667,24000,142000
