YearC	TimePeriodID	Lat	Lon	QuadID	Eff1Type	SumOfEff1
2000	1	0	0	2	NO.HOOKS	189529
2000	1	0	0	3	NO.HOOKS	124696
2000	1	0	5	3	NO.HOOKS	42813
2000	1	0	10	3	NO.HOOKS	56448
2000	1	0	15	3	NO.HOOKS	88089
2000	1	0	20	3	NO.HOOKS	2409815
2000	1	0	25	3	NO.HOOKS	323710
2000	1	0	29	3	NO.HOOKS	900
2000	1	0	30	3	NO.HOOKS	281654
2000	1	0	31	3	NO.HOOKS	900
2000	1	0	35	3	NO.HOOKS	77806
2000	1	1	30	3	NO.HOOKS	900
2000	1	2	34	3	NO.HOOKS	2880
2000	1	2	35	3	NO.HOOKS	900
2000	1	5	0	2	NO.HOOKS	459380
2000	1	5	0	3	NO.HOOKS	2731339
2000	1	5	5	2	NO.HOOKS	12649
2000	1	5	5	3	NO.HOOKS	870646
2000	1	5	10	3	NO.HOOKS	1034553
2000	1	5	15	3	NO.HOOKS	1481054
2000	1	5	20	3	NO.HOOKS	1341827
2000	1	5	25	3	NO.HOOKS	139412
2000	1	5	30	3	NO.HOOKS	74480
2000	1	10	0	3	NO.HOOKS	23475
2000	1	10	5	3	NO.HOOKS	36580
2000	1	10	10	3	NO.HOOKS	47325
2000	1	10	15	3	NO.HOOKS	201417
2000	1	10	20	3	NO.HOOKS	178326
2000	1	10	25	3	NO.HOOKS	770190
2000	1	10	30	3	NO.HOOKS	1055821
2000	1	10	35	3	NO.HOOKS	2400
2000	1	15	10	2	NO.HOOKS	246456
2000	1	15	20	3	NO.HOOKS	185185
2000	1	15	25	3	NO.HOOKS	195536
2000	1	15	30	3	NO.HOOKS	516196
2000	1	15	35	3	NO.HOOKS	30647
2000	1	19	27	3	NO.HOOKS	900
2000	1	20	0	2	NO.HOOKS	13717
2000	1	20	5	2	NO.HOOKS	178326
2000	1	20	10	3	NO.HOOKS	98730
2000	1	20	15	3	NO.HOOKS	589046
2000	1	20	20	3	NO.HOOKS	316559
2000	1	20	25	3	NO.HOOKS	247736
2000	1	20	27	3	NO.HOOKS	1800
2000	1	20	30	3	NO.HOOKS	185599
2000	1	20	35	3	NO.HOOKS	126475
2000	1	22	20	3	NO.HOOKS	1800
2000	1	22	21	3	NO.HOOKS	4500
2000	1	23	21	3	NO.HOOKS	900
2000	1	23	22	3	NO.HOOKS	900
2000	1	23	23	3	NO.HOOKS	900
2000	1	24	17	3	NO.HOOKS	1800
2000	1	24	21	3	NO.HOOKS	5400
2000	1	25	0	3	NO.HOOKS	61271
2000	1	25	5	3	NO.HOOKS	172338
2000	1	25	10	3	NO.HOOKS	65036
2000	1	25	15	3	NO.HOOKS	134613
2000	1	25	20	3	NO.HOOKS	14300
2000	1	30	0	3	NO.HOOKS	159351
2000	1	30	5	2	NO.HOOKS	118884
2000	1	30	10	2	NO.HOOKS	35825
2000	1	30	15	2	NO.HOOKS	70830
2000	1	30	45	3	NO.HOOKS	1800
2000	1	30	50	3	NO.HOOKS	796
2000	1	35	5	2	NO.HOOKS	109739
2000	1	35	10	2	NO.HOOKS	27435
2000	1	35	15	2	NO.HOOKS	151684
2000	1	35	15	3	NO.HOOKS	49383
2000	1	35	20	3	NO.HOOKS	8230
2000	1	35	40	3	NO.HOOKS	20301
2000	1	35	45	3	NO.HOOKS	3600
2000	1	35	50	3	NO.HOOKS	14832
2000	2	0	0	2	NO.HOOKS	94879
2000	2	0	0	3	NO.HOOKS	9219
2000	2	0	5	3	NO.HOOKS	251555
2000	2	0	10	3	NO.HOOKS	875765
2000	2	0	15	3	NO.HOOKS	1022982
2000	2	0	20	3	NO.HOOKS	1333689
2000	2	0	25	3	NO.HOOKS	348565
2000	2	0	30	3	NO.HOOKS	268589
2000	2	0	35	3	NO.HOOKS	31870
2000	2	5	0	2	NO.HOOKS	459206
2000	2	5	0	3	NO.HOOKS	2172756
2000	2	5	5	2	NO.HOOKS	3169
2000	2	5	5	3	NO.HOOKS	1367819
2000	2	5	10	3	NO.HOOKS	1379488
2000	2	5	15	3	NO.HOOKS	522655
2000	2	5	20	3	NO.HOOKS	318395
2000	2	5	25	3	NO.HOOKS	98846
2000	2	5	30	3	NO.HOOKS	107418
2000	2	10	0	2	NO.HOOKS	31658
2000	2	10	0	3	NO.HOOKS	58699
2000	2	10	5	3	NO.HOOKS	68358
2000	2	10	10	3	NO.HOOKS	8368
2000	2	10	20	3	NO.HOOKS	311385
2000	2	10	25	3	NO.HOOKS	247593
2000	2	10	30	3	NO.HOOKS	49931
2000	2	15	0	3	NO.HOOKS	53041
2000	2	15	5	2	NO.HOOKS	214220
2000	2	15	10	2	NO.HOOKS	16461
2000	2	15	10	3	NO.HOOKS	106920
2000	2	15	15	3	NO.HOOKS	76056
2000	2	15	20	3	NO.HOOKS	73049
2000	2	15	25	3	NO.HOOKS	272788
2000	2	15	30	3	NO.HOOKS	311477
2000	2	16	25	3	NO.HOOKS	1800
2000	2	17	25	3	NO.HOOKS	900
2000	2	19	27	3	NO.HOOKS	2700
2000	2	19	28	3	NO.HOOKS	1700
2000	2	20	0	2	NO.HOOKS	73160
2000	2	20	15	3	NO.HOOKS	363472
2000	2	20	20	3	NO.HOOKS	590818
2000	2	20	25	3	NO.HOOKS	292153
2000	2	20	30	3	NO.HOOKS	137952
2000	2	20	35	3	NO.HOOKS	106258
2000	2	21	22	3	NO.HOOKS	1800
2000	2	22	21	3	NO.HOOKS	1800
2000	2	22	22	3	NO.HOOKS	900
2000	2	23	17	3	NO.HOOKS	9900
2000	2	23	18	3	NO.HOOKS	1800
2000	2	23	20	3	NO.HOOKS	900
2000	2	23	21	3	NO.HOOKS	900
2000	2	24	17	3	NO.HOOKS	900
2000	2	24	21	3	NO.HOOKS	4500
2000	2	25	0	3	NO.HOOKS	89163
2000	2	25	5	3	NO.HOOKS	64015
2000	2	25	15	3	NO.HOOKS	48188
2000	2	25	20	3	NO.HOOKS	36117
2000	2	25	30	3	NO.HOOKS	36488
2000	2	25	35	3	NO.HOOKS	118153
2000	2	25	40	3	NO.HOOKS	51166
2000	2	30	0	3	NO.HOOKS	29264
2000	2	30	5	2	NO.HOOKS	116598
2000	2	30	10	2	NO.HOOKS	30062
2000	2	30	15	2	NO.HOOKS	59670
2000	2	30	20	3	NO.HOOKS	6859
2000	2	30	25	3	NO.HOOKS	13717
2000	2	30	30	3	NO.HOOKS	14859
2000	2	30	35	3	NO.HOOKS	13717
2000	2	30	40	3	NO.HOOKS	9059
2000	2	30	45	3	NO.HOOKS	15400
2000	2	35	0	2	NO.HOOKS	14917
2000	2	35	5	2	NO.HOOKS	253772
