Year,Month,Day,LAT,LON,DURATION,HOOKS_SET
2000,11,21,20,11,8,19200
2000,11,20,20,11,8,19200
2002,2,12,22,12,8.333333333,19200
2000,9,3,22,12,8,19200
2000,7,18,22,12,8,19200
2000,7,11,22,12,8,19200
2000,7,10,22,12,8,19200
2000,7,12,22,12,8,19200
2000,11,23,21,12,6,6500
2000,8,8,21,12,8,19200
2000,8,27,21,12,8,19200
2000,7,17,21,12,8,19200
2000,8,30,21,12,8,19200
2000,8,9,21,12,8,1920
2000,8,29,21,12,8,19200
2000,8,28,21,12,8,19200
2000,7,3,21,12,8,19200
2000,11,22,21,12,8,19200
2001,1,17,21,12,8,19200
2000,9,7,21,12,5,19200
2000,9,6,21,12,8,19200
2000,9,4,21,12,8,19200
2000,9,5,21,12,8,19200
2000,8,31,21,12,8,19200
2001,3,3,21,12,8,19200
2001,3,4,21,12,6,19200
2000,7,16,21,12,8,9600
2000,9,25,20,12,8,19200
2000,9,27,20,12,8,19200
2000,9,26,20,12,8,19200
2000,8,13,20,12,8,19200
2000,7,4,20,12,8,19200
2000,8,14,20,12,8,19200
2000,8,17,20,12,4,19200
2000,8,16,20,12,8,19200
2000,8,15,20,12,8,19200
2001,1,16,20,12,8,19200
2001,2,15,20,12,8,19200
2001,3,7,20,12,8,19200
2001,3,5,20,12,8,19200
2001,3,6,20,12,8,19200
2000,11,19,20,12,6,8500
2000,12,7,23,13,8,19200
2000,12,6,23,13,8,19200
2000,12,5,23,13,9,19200
2000,12,4,23,13,8,19200
2000,7,13,23,13,8,19200
2001,10,11,23,13,7.616666667,19200
2001,10,8,23,13,8.45,19200
2001,12,11,23,13,8.25,19200
2001,12,12,23,13,8,19200
2002,2,14,22,13,8.516666667,19200
2002,2,9,22,13,8.166666667,19200
2002,2,10,22,13,8.85,19200
2002,2,13,22,13,8.416666667,19200
2000,7,19,22,13,8,19200
2000,7,20,22,13,5,19200
2000,7,2,22,13,8,19200
2000,6,27,22,13,7,19200
2000,7,9,22,13,8,19200
2001,4,8,22,13,8,19200
2001,4,10,22,13,8,19200
2001,4,11,22,13,8,19200
2001,4,12,22,13,8,19200
2015,9,4,21,12,6.4,18000
2013,4,3,24,13,7.133333333,18000
2005,9,29,19,11,7.166666667,32000
2005,10,1,19,11,8.5,32000
2005,9,26,19,11,7,32000
2006,4,10,21,12,8,25000
2005,9,30,19,11,8,32000
2005,11,10,21,12,5,32000
2005,12,12,22,12,6.666666667,26000
2005,11,8,21,12,5.5,32000
2005,11,7,21,12,5.5,32000
2005,11,6,21,12,5,18000
2013,3,30,23,13,7.083333333,18000
2012,9,7,20,11,5.6,18000
2005,9,27,19,11,8,32000
2010,5,22,25,13,6.75,18000
2015,5,9,20,11,6.616666667,18000
2005,12,1,22,12,6.583333333,32000
2005,11,28,22,12,7.666666667,32000
2006,4,6,21,12,6,25000
2005,11,26,20,12,4.666666667,32000
2000,10,31,20,12,8,19200
2006,4,27,22,12,7,32000
2005,12,19,20,12,6.333333333,26000
2003,1,26,20,12,12.93333333,20480
2016,12,8,23,13,6.833333333,18000
