Year	Month	Lat	Lon	Effort
1983	1	-32.5	17.5	50457
1983	1	-37.5	17.5	50457
1983	1	-32.5	22.5	3064
1983	1	-37.5	22.5	3064
1983	2	-32.5	17.5	50457
1983	2	-37.5	17.5	50457
1983	2	-32.5	22.5	3064
1983	2	-37.5	22.5	3064
1983	3	-32.5	17.5	50457
1983	3	-37.5	17.5	50457
1983	3	-32.5	22.5	3064
1983	3	-37.5	22.5	3064
1983	4	-32.5	17.5	50457
1983	4	-37.5	17.5	50457
1983	4	-32.5	22.5	3064
1983	4	-37.5	22.5	3064
1983	5	-32.5	17.5	50457
1983	5	-37.5	17.5	50457
1983	5	-32.5	22.5	3064
1983	5	-37.5	22.5	3064
1983	6	-32.5	17.5	50457
1983	6	-37.5	17.5	50457
1983	6	-32.5	22.5	3064
1983	6	-37.5	22.5	3064
1983	7	-32.5	17.5	50457
1983	7	-37.5	17.5	50457
1983	7	-32.5	22.5	3064
1983	7	-37.5	22.5	3064
1983	8	-32.5	17.5	50457
1983	8	-37.5	17.5	50457
1983	8	-32.5	22.5	3064
1983	8	-37.5	22.5	3064
1983	9	-32.5	17.5	50457
1983	9	-37.5	17.5	50457
1983	9	-32.5	22.5	3064
1983	9	-37.5	22.5	3064
1983	10	-32.5	17.5	50457
1983	10	-37.5	17.5	50457
1983	10	-32.5	22.5	3064
1983	10	-37.5	22.5	3064
1983	11	-32.5	17.5	16833
1983	11	-37.5	17.5	16833
1983	11	-32.5	22.5	14917
1983	11	-37.5	22.5	14917
1983	12	-32.5	17.5	16833
1983	12	-37.5	17.5	16833
1983	12	-32.5	22.5	14917
1983	12	-37.5	22.5	14917
1984	1	-32.5	17.5	16833
1984	1	-37.5	17.5	16833
1984	1	-32.5	22.5	14917
1984	1	-37.5	22.5	14917
1984	2	-32.5	17.5	169683
1984	2	-37.5	17.5	169683
1984	2	-32.5	22.5	60133
1984	2	-37.5	22.5	60133
1984	3	-32.5	17.5	169683
1984	3	-37.5	17.5	169683
1984	3	-32.5	22.5	60133
1984	3	-37.5	22.5	60133
1984	4	-32.5	17.5	169683
1984	4	-37.5	17.5	169683
1984	4	-32.5	22.5	60133
1984	4	-37.5	22.5	60133
1984	5	-32.5	17.5	195683
1984	5	-37.5	17.5	195683
1984	5	-32.5	22.5	20850
1984	5	-37.5	22.5	20850
1984	6	-32.5	17.5	195683
1984	6	-37.5	17.5	195683
1984	6	-32.5	22.5	20850
1984	6	-37.5	22.5	20850
1984	7	-32.5	17.5	195683
1984	7	-37.5	17.5	195683
1984	7	-32.5	22.5	20850
1984	7	-37.5	22.5	20850
1984	8	-32.5	17.5	45133
1984	8	-37.5	17.5	45133
1984	8	-32.5	22.5	25200
1984	8	-37.5	22.5	25200
1984	9	-32.5	17.5	45133
1984	9	-37.5	17.5	45133
1984	9	-32.5	22.5	25200
1984	9	-37.5	22.5	25200
1984	10	-32.5	17.5	45133
1984	10	-37.5	17.5	45133
1984	10	-32.5	22.5	25200
1984	10	-37.5	22.5	25200
1984	11	-32.5	17.5	104050
1984	11	-37.5	17.5	104050
1984	11	-32.5	22.5	165617
1984	11	-37.5	22.5	165617
1984	12	-32.5	17.5	104050
1984	12	-37.5	17.5	104050
1984	12	-32.5	22.5	165617
1984	12	-37.5	22.5	165617
1985	1	-32.5	17.5	104050
1985	1	-37.5	17.5	104050
1985	1	-32.5	22.5	165617
1985	1	-37.5	22.5	165617
1985	2	-32.5	17.5	376833
1985	2	-37.5	17.5	376833
1985	2	-32.5	22.5	196983
1985	2	-37.5	22.5	196983
1985	3	-32.5	17.5	376833
1985	3	-37.5	17.5	376833
1985	3	-32.5	22.5	196983
1985	3	-37.5	22.5	196983
1985	4	-32.5	17.5	376833
1985	4	-37.5	17.5	376833
1985	4	-32.5	22.5	196983
1985	4	-37.5	22.5	196983
1985	5	-32.5	17.5	561633
1985	5	-37.5	17.5	561633
1985	5	-32.5	22.5	10667
1985	5	-37.5	22.5	10667
1985	6	-32.5	17.5	561633
1985	6	-37.5	17.5	561633
1985	6	-32.5	22.5	10667
1985	6	-37.5	22.5	10667
1985	7	-32.5	17.5	561633
1985	7	-37.5	17.5	561633
1985	7	-32.5	22.5	10667
1985	7	-37.5	22.5	10667
1985	8	-32.5	17.5	47767
1985	8	-37.5	17.5	47767
1985	8	-32.5	22.5	320267
1985	8	-37.5	22.5	320267
1985	9	-32.5	17.5	47767
1985	9	-37.5	17.5	47767
1985	9	-32.5	22.5	320267
1985	9	-37.5	22.5	320267
1985	10	-32.5	17.5	47767
1985	10	-37.5	17.5	47767
1985	10	-32.5	22.5	320267
1985	10	-37.5	22.5	320267
1985	11	-32.5	17.5	113517
1985	11	-37.5	17.5	113517
1985	11	-32.5	22.5	428700
1985	11	-37.5	22.5	428700
1985	12	-32.5	17.5	113517
1985	12	-37.5	17.5	113517
1985	12	-32.5	22.5	428700
1985	12	-37.5	22.5	428700
1986	1	-32.5	17.5	113517
1986	1	-37.5	17.5	113517
1986	1	-32.5	22.5	428700
1986	1	-37.5	22.5	428700
1986	2	-32.5	17.5	291833
1986	2	-37.5	17.5	291833
1986	2	-32.5	22.5	228833
1986	2	-37.5	22.5	228833
1986	3	-32.5	17.5	291833
1986	3	-37.5	17.5	291833
1986	3	-32.5	22.5	228833
1986	3	-37.5	22.5	228833
1986	4	-32.5	17.5	291833
1986	4	-37.5	17.5	291833
1986	4	-32.5	22.5	228833
1986	4	-37.5	22.5	228833
1986	5	-32.5	17.5	309533
1986	5	-37.5	17.5	309533
1986	5	-32.5	22.5	305533
1986	5	-37.5	22.5	305533
1986	6	-32.5	17.5	309533
1986	6	-37.5	17.5	309533
1986	6	-32.5	22.5	305533
1986	6	-37.5	22.5	305533
1986	7	-32.5	17.5	309533
1986	7	-37.5	17.5	309533
1986	7	-32.5	22.5	305533
1986	7	-37.5	22.5	305533
1986	8	-32.5	17.5	55767
1986	8	-37.5	17.5	55767
1986	8	-32.5	22.5	636817
1986	8	-37.5	22.5	636817
1986	9	-32.5	17.5	55767
1986	9	-37.5	17.5	55767
1986	9	-32.5	22.5	636817
1986	9	-37.5	22.5	636817
1986	10	-32.5	17.5	55767
1986	10	-37.5	17.5	55767
1986	10	-32.5	22.5	636817
1986	10	-37.5	22.5	636817
1986	11	-32.5	17.5	274650
1986	11	-37.5	17.5	274650
1986	11	-32.5	22.5	448967
1986	11	-37.5	22.5	448967
1986	12	-32.5	17.5	274650
1986	12	-37.5	17.5	274650
1986	12	-32.5	22.5	448967
1986	12	-37.5	22.5	448967
1987	1	-32.5	17.5	274650
1987	1	-37.5	17.5	274650
1987	1	-32.5	22.5	448967
1987	1	-37.5	22.5	448967
1987	2	-32.5	17.5	411067
1987	2	-37.5	17.5	411067
1987	2	-32.5	22.5	350200
1987	2	-37.5	22.5	350200
1987	3	-32.5	17.5	411067
1987	3	-37.5	17.5	411067
1987	3	-32.5	22.5	350200
1987	3	-37.5	22.5	350200
1987	4	-32.5	17.5	411067
1987	4	-37.5	17.5	411067
1987	4	-32.5	22.5	350200
1987	4	-37.5	22.5	350200
1987	5	-32.5	17.5	637267
1987	5	-37.5	17.5	637267
1987	5	-32.5	22.5	207267
1987	5	-37.5	22.5	207267
1987	6	-32.5	17.5	637267
1987	6	-37.5	17.5	637267
1987	6	-32.5	22.5	207267
1987	6	-37.5	22.5	207267
1987	7	-32.5	17.5	637267
1987	7	-37.5	17.5	637267
1987	7	-32.5	22.5	207267
1987	7	-37.5	22.5	207267
1987	8	-32.5	17.5	259767
1987	8	-37.5	17.5	259767
1987	8	-32.5	22.5	590200
1987	8	-37.5	22.5	590200
1987	9	-32.5	17.5	259767
1987	9	-37.5	17.5	259767
1987	9	-32.5	22.5	590200
1987	9	-37.5	22.5	590200
1987	10	-32.5	17.5	259767
1987	10	-37.5	17.5	259767
1987	10	-32.5	22.5	590200
1987	10	-37.5	22.5	590200
1987	11	-32.5	17.5	674733
1987	11	-37.5	17.5	674733
1987	11	-32.5	22.5	97567
1987	11	-37.5	22.5	97567
1987	12	-32.5	17.5	674733
1987	12	-37.5	17.5	674733
1987	12	-32.5	22.5	97567
1987	12	-37.5	22.5	97567
1988	1	-32.5	17.5	674733
1988	1	-37.5	17.5	674733
1988	1	-32.5	22.5	97567
1988	1	-37.5	22.5	97567
1988	2	-32.5	17.5	905167
1988	2	-37.5	17.5	905167
1988	2	-32.5	22.5	224800
1988	2	-37.5	22.5	224800
1988	3	-32.5	17.5	905167
1988	3	-37.5	17.5	905167
1988	3	-32.5	22.5	224800
1988	3	-37.5	22.5	224800
1988	4	-32.5	17.5	905167
1988	4	-37.5	17.5	905167
1988	4	-32.5	22.5	224800
1988	4	-37.5	22.5	224800
1988	5	-32.5	17.5	451567
1988	5	-37.5	17.5	451567
1988	5	-32.5	22.5	60500
1988	5	-37.5	22.5	60500
1988	6	-32.5	17.5	451567
