DAY,MONTH,YEAR,DATE,LatDeg,LatMin,LongDeg,LongMin,DURATIONS(HOURS),TIME_START,TIME_END
31,12,2017,31-Dec-17,28,58,14,24,4.166666667,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,28,58,14,24,1.75,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,28,14,4,2.666666667,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,28,14,4,3.833333333,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,28,14,4,4.5,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,24,13,56,6.166666667,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,24,13,56,5,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,24,13,56,4.25,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,25,56,13,41,5.666666667,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,25,56,13,41,4.666666667,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,25,56,13,41,4.416666667,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,25,56,13,41,3.833333333,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,16,13,50,4.333333333,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,16,13,50,3,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,16,13,50,3.75,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,16,13,50,3.666666667,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,16,13,50,4.25,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,18,13,51,3.833333333,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,18,13,51,4,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,18,13,51,3.833333333,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,18,13,51,3.416666667,31-Dec-17,31-Dec-17
31,12,2017,31-Dec-17,26,18,13,51,3.666666667,31-Dec-17,31-Dec-17
30,12,2017,30-Dec-17,27,52,14,48,5.5,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,27,52,14,48,1.666666667,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,27,52,14,48,3.833333333,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,23,13,50,4.5,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,23,13,50,4.666666667,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,23,13,50,5.25,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,23,13,50,5.666666667,30-Dec-17,31-Dec-17
30,12,2017,30-Dec-17,26,6,13,41,3.75,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,6,13,41,4.5,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,6,13,41,3.75,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,6,13,41,3.583333333,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,6,13,41,3.75,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,7,13,41,5,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,7,13,41,4.5,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,7,13,41,4,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,7,13,41,4.083333333,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,7,13,41,3.583333333,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,25,13,59,3.25,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,25,13,59,3.116666667,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,25,13,59,3,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,25,13,59,4.5,30-Dec-17,30-Dec-17
30,12,2017,30-Dec-17,26,25,13,59,3.666666667,30-Dec-17,30-Dec-17
29,12,2017,29-Dec-17,26,14,13,44,3.583333333,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,14,13,44,4.666666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,14,13,44,3.666666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,25,13,55,4.25,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,25,13,55,3.416666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,14,13,44,4.5,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,25,13,55,4.5,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,25,13,55,4.833333333,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,13,13,45,4.666666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,13,13,45,4.5,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,13,13,45,3.5,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,13,13,45,5.416666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,27,59,14,37,1.416666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,27,59,14,37,7.583333333,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,27,59,14,37,3.25,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,27,59,14,37,2.5,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,28,13,49,3.666666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,28,13,49,3.416666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,28,13,49,3.75,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,28,13,49,2.566666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,28,13,49,4.833333333,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,17,13,46,4.166666667,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,17,13,46,4,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,17,13,46,4,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,17,13,46,4.25,29-Dec-17,29-Dec-17
29,12,2017,29-Dec-17,26,17,13,46,4,29-Dec-17,29-Dec-17
28,12,2017,28-Dec-17,27,49,14,47,6.25,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,27,49,14,47,3.916666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,27,49,14,47,3.5,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,25,13,52,5,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,25,13,52,5,28-Dec-17,29-Dec-17
28,12,2017,28-Dec-17,26,25,13,52,4.916666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,25,13,52,4.283333333,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,0,13,42,4.583333333,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,0,13,42,4.916666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,0,13,42,4.566666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,0,13,42,4.666666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,14,13,43,5,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,14,13,43,5.166666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,14,13,43,5,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,14,13,43,4.5,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,5,13,41,4.083333333,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,5,13,41,3.25,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,5,13,41,3.666666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,5,13,41,3.666666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,5,13,41,4.583333333,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,3,13,43,4.083333333,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,3,13,43,4.166666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,3,13,43,3.666666667,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,3,13,43,3.75,28-Dec-17,28-Dec-17
28,12,2017,28-Dec-17,26,3,13,43,4,28-Dec-17,28-Dec-17
27,12,2017,27-Dec-17,26,14,13,40,6,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,14,13,40,3.416666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,14,13,40,4.416666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,14,13,40,3.916666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,0,13,42,5.25,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,25,13,52,4.416666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,0,13,42,4.916666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,25,13,52,2,27-Dec-17,28-Dec-17
27,12,2017,27-Dec-17,26,25,13,52,2.75,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,0,13,42,4.083333333,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,25,13,52,5.166666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,0,13,42,4.333333333,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,12,13,41,4.166666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,12,13,41,4.166666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,12,13,41,3.583333333,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,12,13,41,3.916666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,26,12,13,41,4.75,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,27,52,14,48,3.916666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,27,52,14,48,4.916666667,27-Dec-17,27-Dec-17
27,12,2017,27-Dec-17,27,52,14,48,5.583333333,27-Dec-17,27-Dec-17
