DAY,MONTH,YEAR,DATE,LatDeg,LatMin,LongDeg,LongMin,DURATION(HOURS),TIME_START,TIME_END
10,12,2009,10-Dec-09,21,2,12,47,4.25,10-Dec-09,10-Dec-09
10,12,2009,10-Dec-09,21,2,12,47,5.5,10-Dec-09,10-Dec-09
10,12,2009,10-Dec-09,21,2,12,47,4.5,10-Dec-09,11-Dec-09
10,12,2009,10-Dec-09,21,2,12,47,4.75,10-Dec-09,10-Dec-09
24,2,2009,24-Feb-09,29,54,14,33,4.75,24-Feb-09,24-Feb-09
24,2,2009,24-Feb-09,29,54,14,33,4.833333333,24-Feb-09,24-Feb-09
24,2,2009,24-Feb-09,29,54,14,33,4,24-Feb-09,24-Feb-09
25,2,2009,25-Feb-09,29,55,14,33,4.666666667,25-Feb-09,25-Feb-09
25,2,2009,25-Feb-09,29,55,14,33,4.25,25-Feb-09,25-Feb-09
25,2,2009,25-Feb-09,29,55,14,33,4,25-Feb-09,25-Feb-09
26,2,2009,26-Feb-09,29,33,14,37,5.083333333,26-Feb-09,26-Feb-09
1,3,2009,01-Mar-09,29,40,14,41,2.583333333,01-Mar-09,01-Mar-09
1,3,2009,01-Mar-09,29,40,14,41,4.083333333,01-Mar-09,01-Mar-09
1,3,2009,01-Mar-09,29,40,14,41,1.583333333,01-Mar-09,01-Mar-09
1,3,2009,01-Mar-09,29,40,14,41,2.75,01-Mar-09,01-Mar-09
2,3,2009,02-Mar-09,29,45,14,42,4.75,02-Mar-09,02-Mar-09
2,3,2009,02-Mar-09,29,45,14,42,4.166666667,02-Mar-09,02-Mar-09
2,3,2009,02-Mar-09,29,45,14,42,4.25,02-Mar-09,02-Mar-09
3,3,2009,03-Mar-09,29,35,14,38,4.5,03-Mar-09,03-Mar-09
3,3,2009,03-Mar-09,29,35,14,38,3.666666667,03-Mar-09,03-Mar-09
4,3,2009,04-Mar-09,29,43,14,40,3.333333333,04-Mar-09,04-Mar-09
4,3,2009,04-Mar-09,29,43,14,40,4.166666667,04-Mar-09,04-Mar-09
4,3,2009,04-Mar-09,29,43,14,40,4,04-Mar-09,04-Mar-09
5,3,2009,05-Mar-09,29,50,14,39,4.166666667,05-Mar-09,05-Mar-09
5,3,2009,05-Mar-09,29,50,14,39,4.5,05-Mar-09,05-Mar-09
5,3,2009,05-Mar-09,29,50,14,39,4.5,05-Mar-09,05-Mar-09
6,3,2009,06-Mar-09,29,49,14,38,4.166666667,06-Mar-09,06-Mar-09
6,3,2009,06-Mar-09,29,49,14,38,4,06-Mar-09,06-Mar-09
6,3,2009,06-Mar-09,29,49,14,38,4.583333333,06-Mar-09,06-Mar-09
7,3,2009,07-Mar-09,29,36,14,39,4.5,07-Mar-09,07-Mar-09
7,3,2009,07-Mar-09,29,36,14,39,4.083333333,07-Mar-09,07-Mar-09
8,3,2009,08-Mar-09,27,10,14,25,5.083333333,08-Mar-09,08-Mar-09
8,3,2009,08-Mar-09,27,10,14,25,2.333333333,08-Mar-09,08-Mar-09
8,3,2009,08-Mar-09,27,10,14,25,1.75,08-Mar-09,08-Mar-09
10,3,2009,10-Mar-09,27,12,14,24,3.916666667,10-Mar-09,10-Mar-09
10,3,2009,10-Mar-09,27,12,14,24,3.333333333,10-Mar-09,10-Mar-09
11,3,2009,11-Mar-09,26,25,13,45,3.75,11-Mar-09,11-Mar-09
11,3,2009,11-Mar-09,26,25,13,45,4,11-Mar-09,11-Mar-09
12,3,2009,12-Mar-09,25,16,13,37,5.9,12-Mar-09,12-Mar-09
12,3,2009,12-Mar-09,25,16,13,37,4,12-Mar-09,12-Mar-09
12,3,2009,12-Mar-09,25,16,13,37,4.5,12-Mar-09,12-Mar-09
12,3,2009,12-Mar-09,25,16,13,37,4.416666667,12-Mar-09,12-Mar-09
13,3,2009,13-Mar-09,25,18,13,37,4.25,13-Mar-09,13-Mar-09
13,3,2009,13-Mar-09,25,18,13,37,4.166666667,13-Mar-09,13-Mar-09
13,3,2009,13-Mar-09,25,18,13,37,6,13-Mar-09,13-Mar-09
13,3,2009,13-Mar-09,25,18,13,37,3.333333333,13-Mar-09,13-Mar-09
14,3,2009,14-Mar-09,26,26,13,59,2.666666667,14-Mar-09,14-Mar-09
14,3,2009,14-Mar-09,26,26,13,59,3,14-Mar-09,14-Mar-09
